hidden_layer_sizes,activation,learning_rate,lam,alpha,tol,batch_size,shuffle,max_iter,score
"[64, 64]",relu,0.05,0.0001,0.9,1e-05,64,True,3000,1.0039571750750975
"[64, 64]",relu,0.05,0.0001,0.9,1e-05,32,True,3000,1.00609410101295
"[64, 64]",relu,0.05,0.0001,0.7,1e-05,32,False,3000,1.008085584433283
"[64, 64]",relu,0.1,0.0001,0.0,1e-05,32,True,3000,1.0128255911287636
"[64, 64]",relu,0.1,0.0001,0.0,1e-05,64,True,3000,1.0173080891399424
"[64, 64]",relu,0.05,0.0001,0.7,1e-05,32,True,3000,1.0177541759455249
"[64, 64]",relu,0.03,0.0001,0.9,1e-05,32,True,3000,1.0187690521601296
"[32, 32]",relu,0.05,0.0001,0.7,1e-05,32,True,3000,1.0261658177507182
"[64, 64]",relu,0.1,0.0001,0.9,1e-05,32,True,3000,1.0341153367839877
"[64, 64]",relu,0.05,0.0001,0.9,1e-05,32,False,3000,1.0348539154962475
"[32, 32]",relu,0.05,0.0001,0.9,1e-05,64,True,3000,1.0349649949310726
"[64, 64]",relu,0.05,0.0001,0.7,1e-05,64,True,3000,1.038977530651456
"[64, 64]",relu,0.03,5e-05,0.9,1e-05,32,True,3000,1.0407976087885251
"[64, 64]",relu,0.1,0.0001,0.7,1e-05,32,False,3000,1.042752001593482
"[64, 64]",relu,0.03,0.0001,0.7,1e-05,32,True,3000,1.044245212100839
"[64, 64]",relu,0.03,0.0001,0.9,1e-05,64,False,3000,1.0442726547811203
"[64, 64]",relu,0.03,5e-05,0.7,1e-05,64,True,3000,1.0452527276408097
"[32, 32]",relu,0.1,0.0001,0.0,1e-05,64,False,3000,1.0455293274225548
"[64, 64]",relu,0.1,0.0001,0.0,1e-05,32,False,3000,1.048068005106534
"[32, 32]",relu,0.05,0.0001,0.9,1e-05,32,True,3000,1.048948560899102
"[32, 32]",relu,0.1,0.0001,0.9,1e-05,32,True,3000,1.0490209904916066
"[32, 32]",relu,0.03,5e-05,0.7,1e-05,32,True,3000,1.0492465198242968
"[64, 64]",relu,0.05,0.0001,0.7,1e-05,64,False,3000,1.0519388789252668
"[64, 64]",relu,0.05,0.0001,0.9,1e-05,64,False,3000,1.0521321306188007
"[32, 32]",relu,0.03,0.0001,0.9,1e-05,32,True,3000,1.0528130348597315
"[32, 32]",relu,0.03,0.0001,0.7,1e-05,32,True,3000,1.0560917010082356
"[64, 64]",relu,0.1,0.0001,0.7,1e-05,64,True,3000,1.0596156241257506
"[32, 32]",relu,0.1,0.0001,0.9,1e-05,64,True,3000,1.0626805764511356
"[32, 32]",relu,0.03,5e-05,0.9,1e-05,64,True,3000,1.0628043891030527
"[64, 64]",relu,0.1,0.0001,0.7,1e-05,32,True,3000,1.0652648963434033
"[64, 64]",relu,0.05,5e-05,0.0,1e-05,32,False,3000,1.065464159867767
"[32, 32]",relu,0.03,0.0001,0.9,1e-05,64,True,3000,1.066507609617816
"[64, 64]",relu,0.05,0.0001,0.0,1e-05,32,True,3000,1.0673459529766678
"[64, 64]",relu,0.05,5e-05,0.0,1e-05,64,True,3000,1.0675141734634033
"[32, 32]",relu,0.1,0.0001,0.7,1e-05,64,True,3000,1.068215860707198
"[64, 64]",relu,0.1,0.0001,0.0,1e-05,64,False,3000,1.0682675120132474
"[32, 32]",relu,0.1,0.0001,0.7,1e-05,32,True,3000,1.068806092747984
"[64, 64]",relu,0.03,0.0001,0.9,1e-05,64,True,3000,1.0690054814585128
"[32, 32]",relu,0.05,0.0001,0.7,1e-05,64,True,3000,1.0690345836071875
"[64, 64]",relu,0.05,5e-05,0.7,1e-05,32,True,3000,1.0700058967072736
"[64, 64]",relu,0.03,5e-05,0.0,1e-05,64,True,3000,1.071280712401431
"[64, 64]",relu,0.03,5e-05,0.7,1e-05,32,True,3000,1.072381596813143
"[64, 64]",relu,0.05,0.0001,0.0,1e-05,64,True,3000,1.0738221984776188
"[64, 64]",relu,0.03,0.0001,0.7,1e-05,64,True,3000,1.073975975052301
"[32, 32]",relu,0.05,0.0001,0.7,1e-05,64,False,3000,1.076280185815129
"[64, 64]",relu,0.1,0.0001,0.7,1e-05,64,False,3000,1.0766632499122908
"[64, 64]",relu,0.05,5e-05,0.0,1e-05,64,False,3000,1.07712567069275
"[64, 64]",relu,0.03,5e-05,0.7,1e-05,32,False,3000,1.0772642081678858
"[32, 32]",relu,0.05,5e-05,0.9,1e-05,32,True,3000,1.078063092150875
"[32, 32]",relu,0.03,0.0001,0.7,1e-05,32,False,3000,1.0789513738859275
"[32, 32]",relu,0.05,0.0001,0.9,1e-05,32,False,3000,1.0793070827401343
"[32, 32]",relu,0.03,5e-05,0.7,1e-05,64,True,3000,1.0798239881145228
"[32, 32]",relu,0.1,0.0001,0.0,1e-05,32,False,3000,1.0806075184460342
"[64, 64]",relu,0.03,0.0001,0.9,1e-05,32,False,3000,1.0815448891055648
"[32, 32]",relu,0.05,5e-05,0.0,1e-05,32,True,3000,1.08172617071912
"[64, 64]",relu,0.03,5e-05,0.9,1e-05,64,True,3000,1.0821409367455537
"[32, 32]",relu,0.05,5e-05,0.7,1e-05,64,True,3000,1.0825604436387093
"[32, 32]",relu,0.03,5e-05,0.7,1e-05,32,False,3000,1.0827224134650466
"[32, 32]",relu,0.1,0.0001,0.0,1e-05,64,True,3000,1.0828950597637217
"[64, 64]",relu,0.05,0.0001,0.0,1e-05,64,False,3000,1.0832785231628557
"[32, 32]",relu,0.05,0.0001,0.0,1e-05,64,True,3000,1.0838570125035951
"[64, 64]",relu,0.03,5e-05,0.0,1e-05,32,False,3000,1.083869902876066
"[32, 32]",relu,0.05,0.0001,0.0,1e-05,32,False,3000,1.0854000709534102
"[64, 64]",relu,0.05,0.0001,0.0,1e-05,32,False,3000,1.085601017648044
"[64, 64]",relu,0.03,0.0001,0.7,1e-05,32,False,3000,1.0868548392030088
"[32, 32]",relu,0.03,5e-05,0.7,1e-05,64,False,3000,1.087039619960119
"[64, 64]",relu,0.03,5e-05,0.0,1e-05,32,True,3000,1.0875459993317944
"[32, 32]",relu,0.03,5e-05,0.9,1e-05,32,True,3000,1.087797368586648
"[32, 32]",relu,0.03,0.0001,0.9,1e-05,64,False,3000,1.087911905941713
"[32, 32]",relu,0.05,0.0001,0.9,1e-05,64,False,3000,1.0895383299152983
"[64, 64]",relu,0.1,0.0001,0.9,1e-05,32,False,3000,1.0908329720534105
"[32, 32]",relu,0.05,0.0001,0.7,1e-05,32,False,3000,1.0910222625432406
"[32, 32]",relu,0.03,0.0001,0.7,1e-05,64,True,3000,1.093702007707402
"[32, 32]",relu,0.1,0.0001,0.7,1e-05,32,False,3000,1.0939522274276885
"[32, 32]",relu,0.05,5e-05,0.7,1e-05,32,True,3000,1.0941950387167751
"[32, 32]",relu,0.05,5e-05,0.0,1e-05,64,True,3000,1.0944601027883811
"[64, 64]",relu,0.01,5e-05,0.9,1e-05,32,True,3000,1.0953102679601596
"[64, 64]",relu,0.05,5e-05,0.9,1e-05,32,True,3000,1.0958548202235132
